distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
2.569790231349800003e+00,-4.780816120559949756e-01,9.615863034611360494e-01,-5.196391037713969825e-03,-5.067573348246619952e-02,1.195739689651329929e+00,-1.187989767970843324e+00,6.260870837472076733e-02,-1.310702836385295944e+00,-1.065276699556390705e+00
7.903745329975530032e-01,-7.524231927667760500e-01,8.325390618156619515e-01,9.025466144182660300e-02,4.373757936808799762e-01,8.946340812816170329e-01,-1.445036667007037146e+00,3.908803991807059675e-02,-1.521649225246455517e+00,-1.368424108767618774e+00
1.144849769716359988e+00,-5.584058845976429541e-01,2.733343480186050112e-01,3.067191565236340178e-01,5.028461204954759456e-01,1.802412519544990044e+00,-1.367547091325158615e+00,3.006950017816410400e-02,-1.426483311674360266e+00,-1.308610870975956963e+00
1.771527807540939969e+00,-6.159839249266300110e-01,7.895233146005029568e-01,1.074678621487229924e+00,6.040275346634870202e-01,9.793134368350180363e-01,-1.385928090022864101e+00,6.323807580905717318e-02,-1.509874718608616107e+00,-1.261981461437112095e+00
7.484917766821940210e-01,-7.631931671249490012e-01,8.110311882080829538e-01,5.354209660258959502e-01,5.296294360105380239e-01,9.684704507865029566e-01,-1.446830311368179522e+00,4.615581688661398591e-02,-1.537295712465942987e+00,-1.356364910270416058e+00
1.145952810005000044e+00,-4.800376912128179741e-01,1.657949799807089952e-01,-4.245221493998500156e-02,4.254720978964099953e-01,1.591822847903989979e+00,-1.246702666760349798e+00,2.471283822663095098e-02,-1.295139829684546440e+00,-1.198265503836153156e+00
1.228107689840989947e+00,-4.539726610963900066e-01,6.604760729550289700e-01,1.040686081430419963e+00,1.278797032846110127e-01,9.379363740150039597e-01,-1.419106074842632959e+00,3.834754504167937894e-02,-1.494267263124324563e+00,-1.343944886560941354e+00
1.294219386124300097e+00,-4.737225013225879744e-01,5.959524521322909774e-01,-6.548618166035909960e-01,2.320370413987410119e-01,1.131979416430910046e+00,-1.246196194059394635e+00,3.463131441699927177e-02,-1.314073570316713235e+00,-1.178318817802076035e+00
5.151169233789569812e-01,-6.375808133777980391e-01,5.744445785247119796e-01,6.958719708728219877e-02,3.034592161055730264e-01,6.490863481792310541e-01,-1.417132989917434527e+00,3.495149636832659001e-02,-1.485637922799354582e+00,-1.348628057035514471e+00
1.209082127327280043e+00,-6.124075621843450001e-01,3.378579688413420046e-01,9.264711468395120386e-01,9.045958532214030123e-01,2.120605050834179828e+00,-1.438177967433774684e+00,5.240786200318114929e-02,-1.540897376960009835e+00,-1.335458557907539534e+00
8.576848220179540405e-01,-5.462054499045839728e-01,7.249996937777659634e-01,2.351988522440920104e-01,4.284480218425270048e-01,3.759945485726660097e-01,-1.298307733609948222e+00,3.530286178990524326e-02,-1.367501342718162594e+00,-1.229114124501733851e+00
1.631263013367449943e+00,8.085027948129599462e-01,3.593658424489210024e-01,-8.027973509308560240e-01,-9.315492215333860404e-01,1.145843035797980081e+00,-8.521133257418365137e-01,1.279663105580529647e-01,-1.102927294435620320e+00,-6.012993570480527072e-01
1.487431085755900106e+00,-3.130784190411989854e-01,-3.719018602087689751e-01,-3.043307435376990111e-01,7.052089488314979837e-01,2.083335127548210097e-01,-1.130651126137726559e+00,5.291375946615949066e-02,-1.234362094691399125e+00,-1.026940157584053992e+00
5.182756043212929598e+00,5.542577385122230416e-01,-1.253724678119509939e+00,-1.365435658172529931e-01,-1.047610255431989934e+00,1.158455255088449931e+00,-1.267214239436695866e+00,9.757754695250038524e-02,-1.458466231463596552e+00,-1.075962247409795181e+00
2.606842274869070053e+00,-5.479630155183909945e-01,6.819839465626079678e-01,3.613853767137460010e-02,4.582072613037069808e-01,3.234791243203989919e-01,-1.119671877899756973e+00,5.392306918748265149e-02,-1.225361093507222998e+00,-1.013982662292290948e+00
5.254684715990870281e+00,8.233273975983630422e-01,-2.428546185632929899e-01,-1.196832659490719986e-01,-7.202586213590099762e-01,1.909208763159659927e+00,-1.212672216423978488e+00,5.785032873090805577e-02,-1.326058860736558209e+00,-1.099285572111398768e+00
1.703029431760739953e+00,-1.101559017503500049e-01,5.825561194281349969e-02,9.104266679326949996e-01,-3.958829112321510246e-01,4.503558423223629759e-01,-1.188893052554379270e+00,6.543234482519554029e-02,-1.317140448411762588e+00,-1.060645656696995953e+00
1.788964569021090023e+00,1.312186173280559975e+00,-1.017138068436139964e+00,-1.250954999039930016e+00,-1.363058193720489975e+00,8.878345244648799817e-01,-1.405806677094707524e+00,1.115478988075078864e-01,-1.624440558757422881e+00,-1.187172795431992167e+00
3.640672386008509953e+00,2.120744277401399813e+00,-4.364254810315050248e-01,-3.293430372407640111e-02,-2.035617005543150171e+00,1.802957975116100009e+00,-1.397157750862371817e+00,9.775054741409261450e-02,-1.588748823793993292e+00,-1.205566677930750341e+00
2.032592078767649912e+00,-5.044019787308270386e-01,4.669052104868169906e-01,4.141355831031739987e-01,5.802201430945439498e-01,1.422764080855769997e+00,-1.274211943616471832e+00,2.385534040376690798e-02,-1.320968410807854987e+00,-1.227455476425088676e+00
9.807290731594909827e-01,-7.962419916299769973e-01,6.389681993474499722e-01,4.913666341122610026e-01,9.284032447903459717e-01,2.475845486468649936e-01,-1.421457385006043239e+00,6.070950906846760142e-02,-1.540448022780239734e+00,-1.302466747231846744e+00
2.586456561926739894e+00,1.778573296685619920e-01,2.948422216261840090e-01,1.157620419225859898e+00,-1.101942124048250066e-01,2.765986020291829828e+00,-1.227894483058453501e+00,6.430356282563240433e-02,-1.353929466196692966e+00,-1.101859499920214036e+00
8.543937582665519503e-01,-5.438315906966070257e-01,6.174603257398709744e-01,8.217741234645179471e-01,3.689295429201679966e-01,4.583834846958039777e-01,-1.442482461468134636e+00,4.360831469052393883e-02,-1.527954758261561574e+00,-1.357010164674707697e+00
2.893892903024689822e+00,1.107849772585829951e-01,-1.568231241329779979e-01,-6.094415673089319946e-02,3.808332387046389766e-01,1.911689277268620035e+00,-1.219637519913131074e+00,3.728509973209068878e-02,-1.292716315388028780e+00,-1.146558724438233368e+00
1.043022556241739895e+00,-3.977412234940330138e-01,1.523986472765529940e-02,-6.301152474422280214e-01,2.112055737759150065e-01,7.920886096135160148e-01,-1.192576005797937100e+00,3.392509992840558181e-02,-1.259069201657611936e+00,-1.126082809938262264e+00
9.934414593125100446e-01,-6.672389102231730540e-01,5.099209577019749862e-01,-7.299173450490420434e-01,5.058220444415939543e-01,6.987684873498779536e-01,-1.376680541219310605e+00,3.856599218273283614e-02,-1.452269885897466972e+00,-1.301091196541154238e+00
4.504459274487039977e+00,2.055904307761430072e+00,-1.038645942043719961e+00,-7.402510772263140026e-01,-2.235003909933059862e+00,8.577706100727070515e-01,-1.190780015268922076e+00,1.230575922229253244e-01,-1.431972896025855757e+00,-9.495871345119883955e-01
1.320937091113270068e+00,6.504272978305399855e-01,-1.568231241329779979e-01,-9.512767658990309849e-01,-5.506309564302850346e-01,1.585672401526750042e+00,-9.073986500192400273e-01,8.833578487272164548e-02,-1.080536788369774515e+00,-7.342605116687055400e-01
1.059337252259209938e+00,-6.018903153619240554e-01,1.873028535882879930e-01,2.955696033849979920e-01,9.105477011136390297e-01,1.666942679181919962e+00,-1.361571118485166876e+00,4.009301616576635419e-02,-1.440153430170068916e+00,-1.282988806800264836e+00
1.388457462057669956e+00,-7.031193157523170090e-01,6.174603257398709744e-01,-5.969385283467759651e-01,3.272666076745149866e-01,6.877284230326280445e-01,-1.380709981299600209e+00,4.275263885619687981e-02,-1.464505153457746012e+00,-1.296914809141454406e+00
3.464632592735759964e+00,2.880468030241469801e-01,2.088107271958669908e-01,1.530728754668239933e-01,-5.000402493462799969e-01,1.703236399737809936e+00,-1.219148713552767882e+00,3.235449726318580937e-02,-1.282563528188612079e+00,-1.155733898916923685e+00
1.129647237938500082e+00,-5.220190733889830126e-01,3.378579688413420046e-01,2.433570618577280131e-01,5.921238388790159846e-01,1.696852205295849902e+00,-1.329691074896339087e+00,2.696199287746009823e-02,-1.382536580936160941e+00,-1.276845568856517232e+00
3.103230602986189801e+00,-3.517104527818279980e-01,-3.073782393860309825e-01,-8.131310831081289825e-01,2.350129653448589928e-01,8.272315672840190315e-01,-1.496865087725370635e+00,7.343356183338846377e-02,-1.640794868918812099e+00,-1.352935306531929172e+00
1.235088260714160002e+00,9.278945663253039822e-01,-5.654727226769810100e-01,-4.095716475536029799e-01,-4.970643254001619882e-01,1.986498420221699979e+00,-8.650687313157376934e-01,8.873631108401698608e-02,-1.038991901040410948e+00,-6.911455615910644390e-01
4.044535202037829791e+00,4.214879886306189816e-01,1.873028535882879930e-01,6.170092779410069755e-02,-5.476550324841670259e-01,1.022497429622359899e+00,-1.201877523607784770e+00,5.818392340040655364e-02,-1.315918013472581638e+00,-1.087837033742987902e+00
4.272777241164609663e+00,6.969090518400870016e-01,1.523986472765529940e-02,-3.021552209740629991e-01,-6.071735114065269778e-01,1.262319669265349997e+00,-1.206909254621507888e+00,4.732424360552042047e-02,-1.299664772088327869e+00,-1.114153737154687906e+00
2.181480858944400136e+00,3.429510763669790241e-01,-7.079162970266120181e-02,1.615030254009139909e-01,-3.066051928486119849e-01,2.169450395093509787e+00,-1.142685348225804809e+00,3.582365603697601486e-02,-1.212899714058277789e+00,-1.072470982393331829e+00
4.123705619579640214e+00,1.532152923398860112e-01,-9.311065740058249718e-01,-1.629767865433090046e+00,4.254720978964099953e-01,4.610769373419110195e-01,-1.435547988519753071e+00,1.095741220941944954e-01,-1.650313267824374375e+00,-1.220782709215131767e+00
2.075564260969879893e+00,-4.636845637941729992e-01,2.948422216261840090e-01,-1.117969966558910039e-01,4.582072613037069808e-01,1.633109376251840050e-01,-1.073490785009151738e+00,4.079513261976867172e-02,-1.153449244943898222e+00,-9.935323250744051427e-01
2.338464122345699892e+00,-7.139167741043880300e-01,9.830941770687150472e-01,2.969293049872709922e-01,5.683164473100720260e-01,8.471433974756099605e-01,-1.250156082837109217e+00,5.198862289382787105e-02,-1.352053783709011858e+00,-1.148258381965206576e+00
1.860246404790729891e+00,-5.307351939059750112e-01,2.733343480186050112e-01,4.636287214258990041e-01,4.820146528726499957e-01,1.713365436253549978e+00,-1.337330915066239578e+00,2.442514322975946131e-02,-1.385204195796568172e+00,-1.289457634335910985e+00
4.061934015239589968e+00,2.783632338130460071e-01,-4.794412282466630204e-01,-7.171361499876790502e-01,-3.929069872860340151e-01,1.557018577001459958e+00,-1.429090482656912187e+00,4.589166068473631011e-02,-1.519038137598995419e+00,-1.339142827714828954e+00
1.677111849831300017e+00,-4.933521242762640147e-01,3.163500952337630068e-01,-3.456656722467880138e-01,1.873981822069719916e-01,6.775832103280210461e-01,-1.178733818847857107e+00,2.371159145720408423e-02,-1.225208538103977007e+00,-1.132259099591737206e+00
1.312886268235750054e+00,-4.307147670846520060e-01,2.088107271958669908e-01,-5.504367335490509827e-01,2.677481287521569775e-01,5.895208990622210488e-01,-1.164659930790043596e+00,2.662458977522848269e-02,-1.216844126749491384e+00,-1.112475734830595808e+00
4.733174745597319877e+00,1.103415762654260002e+00,-3.073782393860299833e-01,-2.135026765058860021e-01,-8.006085679041949899e-01,2.097870010073870084e+00,-1.262148761677065689e+00,6.113954789478773244e-02,-1.381982275550849737e+00,-1.142315247803281641e+00
3.348622575941699875e+00,1.730107864403789941e+00,-3.934097338163469737e-01,-2.314445218771310139e-02,-1.613035805194400041e+00,1.986425240632420097e+00,-1.335846899452283632e+00,8.405772830460832290e-02,-1.500600046929315923e+00,-1.171093751975251340e+00
4.266749712840939956e+00,1.820740376985399978e-01,-7.375357115376129924e-01,-4.182737378081480273e-01,-1.667367673810669915e-01,7.093826940031670025e-01,-1.430497030286139726e+00,6.522357284724630833e-02,-1.558335233066742376e+00,-1.302658827505537076e+00
1.975866488123559916e-01,-6.792438604610000485e-01,4.884130840943959884e-01,-6.271239039172290530e-01,6.843774812086720338e-01,6.148119907622120461e-01,-1.449521481266472289e+00,6.170854112576577843e-02,-1.570470221872973138e+00,-1.328572740659971441e+00
3.577850435999939904e+00,2.727375399516249743e-01,5.099209577019749862e-01,-6.331065909672279890e-01,-8.936274478199959792e-02,1.508410694839019905e+00,-1.266836153869154158e+00,6.388620709894148042e-02,-1.392053119783079440e+00,-1.141619187955228876e+00
6.628352826079270343e+00,1.115649647764070052e+00,-1.167693183689199943e+00,-1.288482763262650099e+00,-3.929069872860330159e-01,1.082391712429360053e+00,-1.560600113481374285e+00,1.236744543841517968e-01,-1.803002044074311749e+00,-1.318198182888436820e+00
2.495162198618490201e+00,-5.766143086226840353e-01,1.873028535882879930e-01,1.219622812289500091e+00,1.315273357785680108e+00,2.977973779946669897e+00,-1.260742667977823972e+00,6.959647126599126377e-02,-1.397151751659166941e+00,-1.124333584296481003e+00
1.287599636338059961e+00,-2.197513324803239965e-01,-1.783309977405569957e-01,-2.145904377877040081e-01,9.216861593119550500e-02,1.585813742110210089e+00,-1.133379054362172900e+00,2.818812791239402524e-02,-1.188627785070465182e+00,-1.078130323653880618e+00
1.605503606330269895e+00,1.186417307510100105e+00,-1.576342782233199902e+00,-9.752075140990299484e-01,-7.976326439580779804e-01,1.669951490471800026e+00,-1.352937095139195245e+00,1.390431776147756926e-01,-1.625461723264155722e+00,-1.080412467014234768e+00
4.519926247022840293e+00,8.130765619489239704e-01,-5.654727226769800108e-01,-7.655415270285850227e-01,-5.506309564302850346e-01,1.769117307188829979e+00,-1.249893377402728101e+00,4.374340530951454503e-02,-1.335630451809376673e+00,-1.164156302996079528e+00
2.599854733146329977e+00,3.319220990869889976e-01,-2.213467449557149913e-01,2.311197474372740090e-01,1.368074751229660102e-01,2.079346603859720144e+00,-1.146441726120792648e+00,3.765176815384024128e-02,-1.220239191702319426e+00,-1.072644260539265870e+00
5.638708964793909928e+00,1.058310523379139889e+00,-2.213467449557139921e-01,2.634868613501159876e-02,-1.068441723054810000e+00,2.088387008369950060e+00,-1.201055282277655900e+00,6.694518686785039252e-02,-1.332267848538642774e+00,-1.069842716016669026e+00
1.144046613490500075e+00,-3.912705982704690055e-01,9.830941770687160464e-01,7.679299400145199739e-01,1.249037793384930040e-01,1.924264857506220006e+00,-1.408603179875044464e+00,6.366027367015239524e-02,-1.533377316268543122e+00,-1.283829043481545806e+00
1.555958369584530043e+00,-3.475038781209360272e-01,1.442871063731299974e-01,2.417254199350009902e-01,3.242906837283979771e-01,1.946706325633680068e+00,-1.236316048527048794e+00,2.475317735748965020e-02,-1.284832276147728436e+00,-1.187799820906369153e+00
2.089806852866909814e+00,3.932815282712209815e-01,1.442871063731299974e-01,1.212552363957680068e+00,-1.399534518660059956e-01,2.877661618713180047e+00,-1.249020638283730777e+00,1.096353320514813490e-01,-1.463905889104634150e+00,-1.034135387462827405e+00
2.589428808174210062e+00,-5.777347103335990219e-01,-2.777588248750300151e-02,-5.822475352634789991e-02,4.790387289265319870e-01,8.208541540704800132e-01,-1.345530889646955108e+00,5.062898402101459472e-02,-1.444763698328143775e+00,-1.246298080965766442e+00
3.017058015167040086e+00,-5.352026215229289674e-01,-9.956301948285619652e-01,1.982959291805370006e+00,3.183388358361620152e-01,2.770801128330810048e+00,-1.239703111072699482e+00,1.226652423550965015e-01,-1.480126986088688534e+00,-9.992792360567103183e-01
2.999651305557700098e+00,-1.205694018480440027e-01,8.755548090308199471e-01,-5.333044933604149662e-01,-3.579611375187610051e-02,1.249701565957030081e+00,-1.190989815573863631e+00,8.423075431127424739e-02,-1.356082094023961071e+00,-1.025897537123766190e+00
2.272794525059029791e+00,1.106939335755410037e+00,-5.009491018542440166e-01,2.177946717350019989e-01,-1.026778787809160098e+00,2.388768376932549842e+00,-1.112680899948203628e+00,8.695267324283216526e-02,-1.283108139504154588e+00,-9.422536603922525567e-01
1.850150234619869938e+00,-6.240220253694790387e-01,5.314288313095539840e-01,-4.381191654225759929e-02,5.326053599566560326e-01,1.253093415105990038e+00,-1.272349560399193891e+00,2.353547346298925924e-02,-1.318479088386652842e+00,-1.226220032411734939e+00
1.423460827530659945e+00,-4.994688780203220269e-01,6.174603257398709744e-01,1.212008483316769913e+00,-2.686834191352290013e-02,6.137824237268449945e-01,-1.415036638551345316e+00,5.592250485924468717e-02,-1.524644748075465017e+00,-1.305428529027225615e+00
1.427700910760719921e+00,-6.590296866059920378e-01,6.389681993474499722e-01,-4.101155281945120246e-01,6.933052530470269481e-01,1.114763153785470085e+00,-1.265337244904372271e+00,2.677111780507594394e-02,-1.317808635802321104e+00,-1.212865854006423438e+00
1.185625830119269919e+00,-5.318885629275369453e-01,3.378579688413420046e-01,2.471642263440919918e-01,5.058220444415949535e-01,1.687203627855019983e+00,-1.333877300535668331e+00,2.502578083231575198e-02,-1.382927830967007221e+00,-1.284826770104329441e+00
1.810195172578769940e+00,-4.934365461324820012e-01,-4.794412282466640196e-01,9.139618920986040118e-01,6.129553065018410463e-01,4.081092350463519924e-01,-1.356021918403945259e+00,8.929328050531180894e-02,-1.531036748194356312e+00,-1.181007088613534206e+00
