dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
7.240618462713827030e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.388329312584381192e+00,4.392760531015629799e-02,-1.474427418992287464e+00,-1.302231206176474920e+00
7.417206086521723751e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.384949552173637466e+00,4.352665795516397207e-02,-1.470261801765758936e+00,-1.299637302581515996e+00
7.593793710329620472e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.381473677853400250e+00,4.313171554703409960e-02,-1.466011840325587068e+00,-1.296935515381213433e+00
7.770381334137518303e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.377903781537059613e+00,4.274259549938116964e-02,-1.461679268715846636e+00,-1.294128294358272591e+00
7.946968957945415024e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.374241963050681692e+00,4.235921636333576934e-02,-1.457266027122819718e+00,-1.291217898978543666e+00
8.123556581753311745e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.370490328550091563e+00,4.198159946938444242e-02,-1.452774263510085095e+00,-1.288206393590098031e+00
8.300144205561208466e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.366650988961351620e+00,4.160987082827964645e-02,-1.448206335784779641e+00,-1.285095642137923599e+00
8.476731829369105187e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.362726058435798526e+00,4.124426323574669623e-02,-1.443564814377862104e+00,-1.281887302493734948e+00
8.653319453177003018e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.358717652817951871e+00,4.088511865334805429e-02,-1.438852485378514068e+00,-1.278582820257389674e+00
8.829907076984899739e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.354627888139214198e+00,4.053289078690219815e-02,-1.434072354081542544e+00,-1.275183422196885852e+00
9.006494700792796460e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.350458879126853917e+00,4.018814790240907153e-02,-1.429227649015575752e+00,-1.271690109238132083e+00
9.183082324600693180e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.346212737740902998e+00,3.985157576209847480e-02,-1.424321826234616006e+00,-1.268103649247189990e+00
9.359669948408591011e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.341891571726347543e+00,3.952398068065904324e-02,-1.419358573860439288e+00,-1.264424569592255798e+00
