dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
1.620505615785809983e+00,1.472389227121619903e+00,2.494913338479169962e+00,-5.009491018542420182e-01,1.256364280499939978e+00,-8.090519783013100374e-01,3.392553298574489951e-01,-1.428528520535089941e+00,1.662810555245969990e+00,-1.009191731681958082e+00,1.598799198797827559e-01,-1.322556374646332245e+00,-6.958270887175839192e-01
6.771511422688399895e-01,-3.265145224405009983e-01,1.849677130251800028e+00,2.948422216261840090e-01,1.476635940068109942e+00,3.562122948463590233e-01,7.737402259906669966e-02,2.141814977220329874e-01,1.224833409132189965e+00,-1.165092593190187431e+00,4.795706159846484240e-02,-1.259088433923178485e+00,-1.071096752457196377e+00
1.092433150353290028e+00,4.656844772279800093e-01,1.419519658100220072e+00,-2.643624921708729869e-01,2.000392997263539918e+00,5.136657403895330543e-01,1.184417730554949921e+00,3.153629118900450057e-01,8.731292972963460297e-01,-1.475397021010065979e+00,1.273782710506493054e-01,-1.725058432269338526e+00,-1.225735609750793431e+00
1.059735060883070012e+00,4.250016399556699742e-01,1.720629888606330093e-01,-1.138073769178190031e-01,1.044250830545399911e+00,-9.025994485376700460e-01,2.678331551506190067e-01,-4.702810098851000209e-01,1.096372003894009906e+00,-6.743711690844906848e-01,6.337677263425817165e-02,-7.985896434476367212e-01,-5.501526947213446483e-01
1.973512883377390059e+00,5.021238265380290056e-01,5.592047137970570514e-01,5.529367049171329818e-01,1.114955313863579933e+00,5.218239500031689460e-01,1.791506215563019921e+00,-8.809585144493800035e-01,1.541939041901309926e+00,-1.123942744607195454e+00,3.547888595230061504e-02,-1.193481361073704727e+00,-1.054404128140686181e+00
4.855156420884220170e-01,-4.137310900724590068e-01,6.452362082273730426e-01,2.948422216261840090e-01,3.578734617181639766e-01,-2.727856663649739777e-01,1.309406536291899958e-01,5.623645994178360086e-01,1.080492256052969946e+00,-1.151424292565891072e+00,2.832199127664535368e-02,-1.206935395468115901e+00,-1.095913189663666243e+00
1.440455475704570110e-01,-4.705208079650329833e-01,8.172991970880060242e-01,3.808737160565000002e-01,2.675892753272590130e-01,1.076038323089510085e+00,2.737850030428540249e-01,8.778125377063410451e-01,2.482117845226219810e+00,-1.321900074526794144e+00,7.033202276550927501e-02,-1.459750839147192281e+00,-1.184049309906396008e+00
8.614019548774189960e-01,2.216009306317119898e-01,4.731732193667410047e-01,-2.643624921708729869e-01,2.175522563636259898e-01,-1.950107347149770132e-01,1.005862293787870065e+00,-6.555535321305630547e-02,2.041302807509839834e+00,-1.295636832735522770e+00,5.961263303099810507e-02,-1.412477593476278992e+00,-1.178796071994766548e+00
2.395954315518439959e+00,1.084664877255300031e+00,5.592047137970550530e-01,-1.468803414195299917e+00,5.928298985908799779e-01,-1.733649067846720015e+00,2.136713393312700049e+00,-5.297994888074599729e-01,1.070906757379600061e+00,-1.396530089453437151e+00,2.523688341341214780e-01,-1.891173004356315301e+00,-9.018871745505590010e-01
1.346121493025740079e-01,-7.325132072347699808e-01,4.731732193667410047e-01,1.112141418714190033e+00,1.949812097658990107e+00,2.305758667963649922e-01,1.130851099524829984e+00,4.968942726032409829e-01,7.707838739154899699e-01,-1.252969183683878995e+00,5.368647828157456503e-02,-1.358194681115765245e+00,-1.147743686251992745e+00
1.740372753722279897e-01,-7.289941637215120451e-01,2.580944832909489728e-01,7.465075673853449612e-01,3.518907746681639859e-01,-8.599048182263080431e-01,1.309406536291899958e-01,1.032560582904469948e+00,4.477283674603569907e-01,-1.385014513451930052e+00,4.323403226667740101e-02,-1.469753216694617670e+00,-1.300275810209242433e+00
3.549358668740130174e+00,1.269553118414040060e+00,3.613322766073289838e+00,-1.404279793372569918e+00,1.756734470136279924e+00,-9.776549769831199832e-01,2.172424480666120150e+00,-9.702362328329190433e-01,1.603324125804229894e+00,-1.145986757840803172e+00,5.494195343048655783e-02,-1.253672986564556835e+00,-1.038300529117049509e+00
6.750289594975350527e-01,-2.076051198941850084e-01,6.452362082273730426e-01,1.227792327655509996e-01,5.422489989863370496e-01,4.301800620099919814e-01,5.832810934391230440e-01,-2.947014970641400056e-01,4.900820891469729879e-01,-1.058576602429142977e+00,4.512390803750084695e-02,-1.147019462182644611e+00,-9.701337426756413418e-01
4.586208678680310340e-03,-4.975694296351120260e-01,3.011102305061080231e-01,5.529367049171329818e-01,9.572299279999529897e-01,-5.670250930967769554e-01,5.594737018701769760e-01,4.968942726032409829e-01,1.242575228229799933e+00,-1.254577135202430416e+00,4.163490432194247304e-02,-1.336181547673437553e+00,-1.172972722731423278e+00
2.385625977540330123e+00,2.263069813680059994e+00,5.161889665818989448e-01,-5.869805962845600078e-01,1.092112326945400058e+00,1.927761622531850016e-01,2.511679810523570033e+00,-2.264763149394239949e+00,5.505814669638710024e-01,-1.132574184119243377e+00,1.893272940473711974e-01,-1.503655680452090859e+00,-7.614926877863958943e-01
2.244456677711470158e-02,-7.131733693010450237e-01,8.603149443031650190e-01,8.755548090308199471e-01,6.657099044726939585e-01,8.372747217304260525e-01,5.951847892236850068e-03,4.701109570881790156e-01,1.210888450280670048e+00,-1.369011160892628753e+00,5.521551232014011712e-02,-1.477233565040103391e+00,-1.260788756745154116e+00
5.723889597094129478e-01,-5.267386774012570161e-01,4.731732193667410047e-01,6.389681993474499722e-01,1.311296225231749935e+00,-6.529520185816560518e-02,1.482010125166749903e+00,5.296294360105380239e-01,1.405189537035709924e+00,-1.042513583658119414e+00,3.582294121024533901e-02,-1.112726548430200246e+00,-9.723006188860385812e-01
2.344266904066309998e+00,3.943205908921589842e-01,4.301574721515819683e-02,8.110311882080829538e-01,2.026499268027170064e+00,2.884991550531800231e-01,2.666427855721699824e+00,-3.125570407408480023e-01,1.872207172730179892e+00,-1.602580635215569149e+00,9.673172330190675516e-02,-1.792174812887306290e+00,-1.412986457543832008e+00
1.005551644895180008e+00,1.157715061691390046e+00,1.333488163669910076e+00,1.227792327655509996e-01,4.704567543863399925e-01,6.384863474781630188e-01,1.624854474580410102e+00,-1.244021235875770071e+00,2.358054328237289887e+00,-1.190839653441624346e+00,1.197581952061910482e-01,-1.425565716045758879e+00,-9.561135908374899239e-01
