distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
2.835175803791710081e+00,4.005118316088039920e-01,7.895233146005029568e-01,8.087209880826999875e-01,-9.107177539105599795e-01,1.758661465837360049e+00,1.508510421418698177e+00,1.153464117831721758e-01,1.282431454323680775e+00,1.734589388513715580e+00
1.344023546762030064e+00,-4.828446843830129787e-01,8.110311882080829538e-01,-7.511286900444950065e-01,4.701109570881790156e-01,9.101095293491759941e-01,6.960349936792880055e-01,5.652768375726974909e-02,5.852407335150393575e-01,8.068292538435366534e-01
2.842137467262160211e+00,2.629106180532480019e-01,4.023815896640789980e-01,8.138878541713360226e-01,-3.988588351782679786e-01,2.452188802055820016e+00,1.193733671138859975e+00,9.534047185217299492e-02,1.006866346308600946e+00,1.380600995969119005e+00
3.741123690746170016e+00,-6.665457447101109656e-01,-5.009491018542420182e-01,8.141597944917909890e-01,1.023632811066119919e+00,9.884833801652670449e-01,9.107558141903875359e-01,1.309399616656255483e-01,6.541134893257614102e-01,1.167398139055013662e+00
1.123331199632390032e+00,-6.798130206253489849e-01,8.970626826383989449e-01,5.291663386554410486e-01,4.105924781658200073e-01,9.090553900915829821e-01,5.422178829753799834e-01,3.189175848978732103e-02,4.797100363353968278e-01,6.047257296153630834e-01
4.077465932455820230e+00,3.445304931703330187e-01,8.540469354232409493e-01,1.674857124509140094e-01,-3.571958999326180217e-01,2.017984016563170169e+00,1.779934915362677561e+00,1.523037055287595476e-01,1.481419652526308806e+00,2.078450178199046317e+00
3.405357223097369879e+00,-4.550939547435179922e-01,7.976348555039260158e-02,7.208842645758859469e-01,1.074223518150130063e+00,2.414423307088339854e+00,1.264979992314388069e+00,1.099094262860570576e-01,1.049557516793716339e+00,1.480402467835059799e+00
8.420251034524629530e-01,-5.938690368735080050e-01,5.959524521322909774e-01,2.169788507736389871e-01,2.945314442672190003e-01,5.593515445194230384e-01,3.482816676825798985e-01,2.612945713826115776e-02,2.970679316915880164e-01,3.994954036735717806e-01
1.180229853115499994e+00,-3.564725370507449975e-01,5.099209577019749862e-01,8.644749695546319335e-02,-2.738700294413140002e-01,1.186069059012559990e+00,4.973064373019280282e-01,4.231374552213430090e-02,4.143714960785447876e-01,5.802413785253112133e-01
1.762144272303290071e+00,3.390427860230409984e-01,-7.079162970266120181e-02,5.259030548099870028e-01,-6.488364466521789886e-01,2.498754362672869878e+00,1.240691996535271624e+00,1.366824843182889160e-01,9.727943272714253409e-01,1.508589665799117796e+00
1.997089301038670106e+00,3.105397365872459847e-01,-3.934097338163479729e-01,-8.351520332861929463e-02,-3.512440520403820043e-01,2.129322726593080084e+00,1.038781005378986766e+00,6.694843138268824490e-02,9.075620798689177926e-01,1.169999930889055628e+00
