"site1","site2","taxSorensen","functionalDistance","distance","precip_PET_ratio","Temp_Isothermallity","Temp_ColdestPeriod_min","Rad_Jan_total","geogDistance100km"
"site_23","site_74",0.618947619047619,0.069815,1.54130734140005,-0.4521585071544,0.230318600803446,0.42827647976681,0.136807475122966,0.791537449886474
"site_68","site_86",0.477024183006536,0.158806,0.38658183131012,-0.640601489248317,0.681983946562608,-0.233626260219521,0.14573524696132,0.563657196228821
"site_150","site_82",0.788361538461538,0.13459,1.18457750281129,-0.60133607905682,0.552936704917133,0.153344815787278,0.851029222191279,1.52585562447034
"site_175","site_29",0.900726446280992,0.110193,3.20988030894679,-0.704140118959689,-0.823567205967929,1.3816992432804,1.05041612658118,3.10649157370967
"site_17","site_71",0.652073913043478,0.0477754,0.998824408279497,-0.608547504430251,0.724999693777766,0.471786931039535,0.60105161071737,0.946335961654329
"site_113","site_161",0.911011111111111,0.191134,2.16015273635782,-0.556375161802039,0.251826474411026,-0.111525056335436,1.07124759420401,0.677127223752905
"site_141","site_92",0.761367889908257,0.0904125,1.98461936308052,0.307652714455914,-0.457933354639085,-0.790831976830857,0.0832408440928423,1.78407982849339
"site_162","site_86",0.6959,0.0785511,2.05858073544968,-0.522850467169229,-0.0492837560950821,0.143826904571369,0.0356260609549547,1.30885603774549
"site_116","site_89",0.91294347826087,0.0698954,3.66099965126193,-0.0737879678816737,0.122779232765551,-0.946381840130849,0.235012965344859,1.10509359389633
"site_117","site_17",0.963202752293578,0.117609,6.67264873013942,1.25084443551692,-1.21070893090435,-0.456889263312692,-0.657764218490532,1.87456020108589
"site_116","site_140",0.806917543859649,0.0583606,1.7650673497843,1.00022115955019,-1.0601538156513,-1.25367440224447,-0.54467910853805,0.973979895515037
"site_159","site_161",0.768495041322314,0.142704,0.886663273224051,-0.513468026609108,-0.457933354639085,0.679277395546343,1.05041612658118,0.295459938176045
"site_31","site_96",0.709397206703911,0.0738895,1.44841239615453,-0.580183209435347,0.811031188208083,0.503060067891806,0.196325954045326,1.29182988662049
"site_148","site_17",0.7999,0.0391343,2.40325459842152,0.224579158702328,0.0582556119428135,1.02980846861223,0.181446334314736,2.69177098194372
"site_105","site_75",0.652073913043478,0.0914843,0.733160387271171,-0.75799302857669,0.681983946562608,-0.679064505124044,0.967090256089881,0.626319765955934
"site_114","site_66",0.814332989690722,0.118543,1.95537059938129,-0.510155077784596,0.0152398647276553,-0.945294078849031,0.339170303458988,0.917130251683384
"site_148","site_151",0.701198701298701,0.0623072,0.801805649105743,0.823320569199361,-0.608488469892139,0.760315611041794,-0.404810683070504,0.501073256199182
"site_37","site_68",0.946328571428571,0.0902319,2.2570597917804,0.0926099711935566,-0.0492837560950821,-0.51318090964678,-0.449449542262274,0.94357301202702
"site_130","site_55",0.777677777777778,0.0929693,0.787050554231515,-0.193533868030781,0.359365842448921,-0.205072526571795,-0.148881223704359,1.60285106517259
"site_28","site_74",0.78484623655914,0.277164,1.17773379829994,-0.376120719642842,0.230318600803446,-0.189571928305887,0.166566714584146,0.978673480415986
"site_23","site_33",0.5999,0.0755825,1.2632714449124,-0.376477159574076,0.122779232765551,0.425557076562265,-0.0536516574285846,0.560102496683697
"site_12","site_88",0.763788888888889,0.115234,2.26211066545406,-0.0321557409708598,0.811031188208083,-0.289917906553609,-0.375051443609325,1.58478245643602
"site_101","site_15",0.771639130434783,0.146021,0.839464486896164,-0.465503721691812,0.746507567385345,0.514753501671351,0.0296742130627179,1.54227818776631
"site_28","site_9",0.56979247311828,0.144397,0.866910575169766,0.0156870146991913,0.230318600803446,-0.172167747796797,-0.276845953387433,0.422601390595997
"site_131","site_175",0.948287096774194,0.0819998,4.87608045650125,0.423549871146056,-1.64086640305594,0.606669329984983,0.285603672428864,2.21430987729045
"site_105","site_163",0.93974962406015,0.0392021,1.80238374639529,-0.68984693726287,0.552936704917133,0.11146600643728,1.27361042254003,0.863312557060382
"site_135","site_50",0.9999,0.0656382,4.53789552046897,1.4227104348002,-2.00650025438478,-0.719311672551315,-1.2975878669059,1.74029980088868
"site_149","site_16",0.557794736842105,0.0415415,1.22756048023249,-0.299431268803454,0.14428710637313,0.279525124478181,0.246916661129331,2.01475078589743
"site_13","site_57",0.747647747747748,0.126871,1.35724922138394,-0.566351117565728,0.574444578524712,0.606669329984983,0.36595361897405,0.582850847851981
"site_115","site_76",0.958233333333333,0.172514,2.01240641954603,0.65669609892349,0.122779232765551,-1.37468784484674,-0.392906987286033,0.639080493209944
"site_134","site_6",0.9599,0.113524,4.08636667437281,0.526256776761037,0.402381589664079,0.279797064798635,-0.511943945130752,2.26680161729662
"site_55","site_83",0.659159259259259,0.170079,1.60806730800701,-0.581055480608558,0.724999693777766,0.564790520634985,0.0534816046316632,0.835701723149479
"site_21","site_26",0.865068539325843,0.117377,1.37770003603943,-0.554102432181952,0.3808737160565,1.23376370895313,0.104072311715668,0.435658136340268
"site_155","site_83",0.659159259259259,0.0668297,2.09789493834915,-0.438250668740971,0.316350095233763,0.529982159616805,0.428448021842527,1.31968009872673
"site_152","site_93",0.981208411214953,0.136478,5.29852591404199,1.40762300481503,-0.823567205967929,-0.532488672399052,-0.901789982072206,1.34347316304116
"site_142","site_160",0.850367289719626,0.237719,1.59498931716591,0.489589732176843,-0.479441228246664,0.60830097190771,-0.404810683070504,2.39732916098487
"site_175","site_58",0.914429914529915,0.0520171,3.50898992005817,-0.700229311969976,-0.629996343499717,1.38740999000994,1.05041612658118,2.81828679529552
"site_11","site_154",0.597726086956522,0.0804956,1.85082457372543,-0.456151618197971,0.187302853588288,1.26965983125313,0.595099762825133,2.29757443047752
"site_68","site_8",0.843037254901961,0.156326,1.7350900738023,-0.396819359668691,0.531428831309554,0.714357696884978,0.0326501370088363,0.978139142914237
"site_148","site_53",0.951995808383233,0.110764,2.25329524772237,0.224960128439848,-0.0922995033102403,0.632503660428164,-0.0476998095363478,2.61329682343277
"site_115","site_25",0.816893464052288,0.125703,5.05153776195613,0.276293918703887,-1.94197663356204,-1.6757257795899,-0.419690302801094,1.4029025801326
"site_148","site_42",0.904661904761905,0.0661094,1.8071724794127,0.30764935393487,-0.264362492170873,0.711910234000887,-0.508968021184634,2.73150039788349
"site_124","site_5",0.86036511627907,0.0214321,3.33627013960891,0.221706922489091,0.337857968841342,-0.145517596392253,-0.217327474465073,1.9818178555672
