dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
1.664078427504560032e-01,-7.356232340169830408e-01,4.301574721515830091e-02,7.680154409929239590e-01,7.750299132954160397e-01,5.025161872508969729e-01,5.535218539779429570e-01,7.736551995922119618e-01,4.958840538307099921e-01,5.616838548672308251e-01,9.262731751447879358e-02,3.801343125388523814e-01,7.432333971956093244e-01
2.406386998174320002e+00,5.719705456033380431e-01,3.656338513288449832e+00,-1.855945139131730093e+00,3.377498780045289806e+00,-4.887062808058719732e-01,2.916405467195609891e+00,-1.280497560815339886e-01,1.993038913058110095e+00,1.672546034026287209e+00,5.142113540227593038e-01,6.646917801416789562e-01,2.680400287910895685e+00
6.523273528072740524e-01,-2.639449486560940250e-01,1.247456669239590088e+00,-4.928375609508209992e-02,8.457343966135939528e-01,-1.906534738089520065e-02,3.571108735341549933e-01,1.100241596079040013e-01,1.589039932265120081e+00,6.665793098952271789e-01,7.271549481133872395e-02,5.240569400650032517e-01,8.091016797254511062e-01
3.114310472842800048e-01,1.291024071588739996e+00,3.097133799491389894e+00,-1.232216804511929942e+00,2.822740526318039844e+00,-5.033910581104169557e-01,4.523404398099299950e-01,-1.925507819536790066e+00,9.238443570833080321e-01,1.231810037364257981e+00,3.452037768242786075e-01,5.552106347886719417e-01,1.908409439939843910e+00
1.559137363361329909e+00,4.239185428995230209e-01,1.720629888606330093e-01,-1.017138068436139964e+00,1.143237107190850033e+00,5.626212138501009846e-02,3.213997861807399992e-01,-2.649422576029609733e-01,1.109480864882500084e+00,1.344503509716798995e+00,3.374395553281371862e-01,6.831219812736500918e-01,2.005885038159947786e+00
2.247265084622419862e-01,-6.140846469393109741e-01,5.592047137970570514e-01,5.959524521322909774e-01,4.117176451681610061e-01,-1.931071524717959953e-01,6.130403329003030199e-01,2.022778019375610081e-01,7.423907123576539702e-01,4.294794874695232467e-01,4.976282558371177001e-02,3.319443493254481958e-01,5.270146256135983531e-01
1.309087603628100061e+00,3.371580973408659920e-01,8.603149443031639365e-02,-6.299963434997180034e-01,2.219033014908979862e+00,7.856744344103550048e-03,1.190369578447380075e-02,-3.839792154476789898e-01,2.324721859416880143e+00,9.300420188112156206e-01,2.967573210184553112e-01,3.483976696150432595e-01,1.511686368007387982e+00
9.507556928050719947e-02,-6.555151152571629947e-01,4.731732193667410047e-01,2.518264744110260134e-01,3.230651006999840091e-01,-4.756531454240540135e-01,3.690145693186269726e-01,8.480532982451609580e-01,9.719204372404970371e-01,5.004510438394471628e-01,7.186766815638181982e-02,3.595904142529388059e-01,6.413116734259555196e-01
5.018520062244340441e-01,-5.620071541437460239e-01,3.871417249364240143e-01,6.819839465626079678e-01,2.606819911877139795e+00,5.824666414645289780e-01,1.279647296830729974e+00,6.308108501785489874e-01,1.516443059072489996e+00,8.743835112406211918e-01,1.470625135252135451e-01,5.861409847312026855e-01,1.162626037750039698e+00
3.735348416168930097e+00,1.176558244699640099e+00,1.591582646960850056e+00,-2.415149852928780039e+00,4.168301231927070027e+00,2.281284039122750129e-01,3.136623839208339870e+00,-4.881365535618080176e-01,2.053667186133929956e+00,1.493566638934645141e+00,5.019741516287344885e-01,5.096973017423255259e-01,2.477435976126964867e+00
5.052245637265599942e-01,-3.629809094642589828e-01,1.591582646960850056e+00,7.976348555039260158e-02,1.579429381199920046e+00,1.396384020584940044e+00,9.225364232965700406e-01,6.248590022863129700e-01,3.054700800472180067e+00,9.466811154943635120e-01,1.439727694840979011e-01,6.644944873055316226e-01,1.228867743683195402e+00
5.203322205031359893e-01,-4.720150145878599934e-01,1.849677130251800028e+00,-1.339756172549829927e+00,1.529936242877200092e+00,1.559276272537210017e+00,1.112995555848119933e+00,4.760628049804149775e-01,7.306761979204080548e-01,1.061308908863913603e+00,3.534612055787891838e-01,3.685249459294868135e-01,1.754092871798340392e+00
4.083373447913089649e+00,1.414196078493680009e+00,9.463464387334810102e-01,-3.719018602087689751e-01,7.342388652272359428e-02,-3.899919444808769842e-01,4.582922877021680108e+00,-1.229141616145180027e+00,1.424818945907130097e+00,1.171576612717189825e+00,2.361332987472335443e-01,7.087553471726120158e-01,1.634397878261767634e+00
1.754328314780210007e+00,1.145377417648120039e-01,1.290472416454750082e+00,-2.777588248750300151e-02,1.728996557449909988e+00,2.528749730736369883e-01,1.583191539334759979e+00,4.135684021119380160e-01,1.905599129330469932e+00,1.432548095631206442e+00,2.316027427425371432e-01,9.786067198558336955e-01,1.886489471406579188e+00
2.456042535240710034e-01,-3.346510310983280001e-01,5.592047137970570514e-01,-1.353152505253990001e-01,3.214334587772569862e-01,6.335914217099819501e-01,1.178465882662719899e+00,5.087979683877119630e-01,1.483122512222730061e+00,5.401047532630418591e-01,1.330217068096889443e-01,2.793822079160515059e-01,8.008272986100322122e-01
3.385291280345149867e-02,-3.752447964620839738e-01,3.011102305061080231e-01,3.674773833523439781e-02,3.442764456954369723e-01,1.408355610463699892e-01,9.939585980034040258e-01,2.082296498297979970e-01,1.778922634157120042e+00,4.072880563750401195e-01,7.267221548740550319e-02,2.648505140197253693e-01,5.497255987303548697e-01
